kategorie,frage,option_1,option_2,option_3,option_4,richtige_antwort,erklaerung
Projektmanagement,"Was versteht man unter der Methode ""Earned Value Analysis""?",Eine Projektmanagement-Methode,Eine Methode zur Kostenkontrolle,Eine Methode zur Terminkontrolle,Eine Methode zur integrierten Projekt-Kontrolle,Eine Methode zur integrierten Projekt-Kontrolle,"Die Earned Value Analysis ist eine Methode zur integrierten Kontrolle von Kosten, Terminen und Leistungsstand in Projekten."
Projektmanagement,"Was ist das Hauptziel des Anforderungsmanagements?",Risiken minimieren,Änderungen kontrollieren,Ressourcen optimieren,Anforderungen dokumentieren,Anforderungen dokumentieren,"Das Anforderungsmanagement dient der Dokumentation, Priorisierung und Verwaltung von Anforderungen an das Projekt oder Produkt."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Prozessabläufen mit Entscheidungspunkten?",Gantt-Diagramm,Ishikawa-Diagramm,Flussdiagramm,Netzplantechnik,Flussdiagramm,"Flussdiagramme eignen sich gut zur Visualisierung von Prozessabläufen mit Entscheidungspunkten und Verzweigungen."
Projektmanagement,"Was ist der Hauptzweck der Projektabnahme?",Kostenkontrolle,Qualitätssicherung,Abrechnung,Projektdokumentation,Qualitätssicherung,"Die Projektabnahme dient der Qualitätssicherung und Bestätigung, dass das Projektergebnis den Anforderungen entspricht."
Projektmanagement,"Welche Methode wird häufig zur Priorisierung von Anforderungen verwendet?",Netzplantechnik,Earned Value Analysis,Ishikawa-Diagramm,MoSCoW-Methode,MoSCoW-Methode,"Die MoSCoW-Methode dient der Priorisierung von Anforderungen in die Kategorien ""Must have"", ""Should have"", ""Could have"" und ""Won't have""."
Projektmanagement,"Was ist das Hauptziel des Risikomanagements?",Risiken akzeptieren,Risiken identifizieren und bewerten,Risiken vermeiden,Risiken übertragen,Risiken identifizieren und bewerten,"Das Hauptziel des Risikomanagements ist die Identifizierung, Bewertung und angemessene Behandlung von Projektrisiken."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Abhängigkeiten zwischen Aktivitäten?",Gantt-Diagramm,Flussdiagramm,Netzplantechnik,Ishikawa-Diagramm,Netzplantechnik,"Die Netzplantechnik eignet sich gut zur Visualisierung von Aktivitäten und deren Abhängigkeiten in Form eines Netzplans."
Projektmanagement,"Was ist der Hauptzweck des Projektcontrollings?",Projektergebnisse bewerten,Projektfortschritt überwachen,Projektrisiken identifizieren,Projektziele definieren,Projektfortschritt überwachen,"Das Projektcontrolling dient der kontinuierlichen Überwachung des Projektfortschritts in Bezug auf Termine, Kosten und Leistung."
Projektmanagement,"Welche Methode wird häufig zur Priorisierung von Projekten in einem Projektportfolio verwendet?",Netzplantechnik,Scoring-Modell,Flussdiagramm,Earned Value Analysis,Scoring-Modell,"Scoring-Modelle werden häufig zur Priorisierung von Projekten in einem Projektportfolio basierend auf definierten Kriterien verwendet."
Projektmanagement,"Was ist der Hauptzweck der Projektdokumentation?",Wissensmanagement,Projektfortschritt überwachen,Risiken identifizieren,Projektziele definieren,Wissensmanagement,"Die Projektdokumentation dient dem Wissensmanagement und der Sicherung von Erfahrungen und Lessons Learned für zukünftige Projekte."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Abhängigkeiten zwischen Ressourcen?",Gantt-Diagramm,Flussdiagramm,Netzplantechnik,Ishikawa-Diagramm,Netzplantechnik,"Die Netzplantechnik kann auch zur Visualisierung von Ressourcenabhängigkeiten und deren Auswirkungen auf den Projektablauf verwendet werden."
Projektmanagement,"Was ist der Hauptzweck des Änderungsmanagements?",Kostenkontrolle,Risikominimierung,Änderungen kontrollieren,Qualitätssicherung,Änderungen kontrollieren,"Das Änderungsmanagement dient der kontrollierten Umsetzung von Änderungen im Projekt, um Auswirkungen auf Termine, Kosten und Qualität zu minimieren."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Ursachen für Probleme?",Gantt-Diagramm,Ishikawa-Diagramm,Netzplantechnik,Flussdiagramm,Ishikawa-Diagramm,"Das Ishikawa-Diagramm (Ursache-Wirkungsdiagramm) eignet sich gut zur Visualisierung von Ursachen für ein bestimmtes Problem."
Projektmanagement,"Was ist das Hauptziel der Statusberichterstattung?",Risiken kommunizieren,Projektfortschritt berichten,Änderungen dokumentieren,Ressourcen planen,Projektfortschritt berichten,"Die Statusberichterstattung dient dazu, den aktuellen Projektstand und -fortschritt an alle Beteiligten zu kommunizieren."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Projekten in einer Roadmap?",Gantt-Diagramm,Netzplantechnik,Flussdiagramm,Projektportfolio-Roadmap,Projektportfolio-Roadmap,"Eine Projektportfolio-Roadmap dient der Visualisierung und Planung von Projekten in einer zeitlichen Übersicht."
Projektmanagement,"Was ist der Hauptzweck der Kommunikationsplanung?",Risiken minimieren,Informationsaustausch planen,Ressourcen optimieren,Kosten schätzen,Informationsaustausch planen,"Die Kommunikationsplanung legt fest, wer wann welche Informationen im Projekt erhält, um einen effizienten Informationsaustausch zu gewährleisten."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Arbeitsabläufen?",Gantt-Diagramm,Flussdiagramm,Netzplantechnik,Ishikawa-Diagramm,Flussdiagramm,"Flussdiagramme eignen sich gut zur Visualisierung von Arbeitsabläufen, Prozessen und Entscheidungspunkten."
Projektmanagement,"Was ist der Hauptzweck des Qualitätsmanagements?",Risiken minimieren,Kosten kontrollieren,Qualitätsstandards sicherstellen,Termine überwachen,Qualitätsstandards sicherstellen,"Das Qualitätsmanagement dient dazu, die geforderten Qualitätsstandards für das Projektergebnis sicherzustellen."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Arbeitsaufwänden?",Netzplantechnik,Flussdiagramm,Gantt-Diagramm,Ishikawa-Diagramm,Gantt-Diagramm,"Gantt-Diagramme eignen sich gut zur Visualisierung von Arbeitsaufwänden und deren zeitlicher Planung."
Projektmanagement,"Was ist das Hauptziel des Stakeholdermanagements?",Stakeholder zufriedenstellen,Risiken minimieren,Konflikte lösen,Ressourcen optimieren,Stakeholder zufriedenstellen,"Das Stakeholdermanagement hat das Ziel, die Bedürfnisse und Erwartungen aller am Projekt beteiligten Stakeholder zu berücksichtigen und deren Zufriedenheit zu erreichen."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Prozessverbesserungen?",Gantt-Diagramm,Flussdiagramm,Ishikawa-Diagramm,Netzplantechnik,Flussdiagramm,"Flussdiagramme können gut zur Visualisierung von optimierten Prozessabläufen und Verbesserungen genutzt werden."
Projektmanagement,"Was ist der Hauptzweck der Projektaudit?",Konformität prüfen,Risiken bewerten,Qualität sicherstellen,Kosten kontrollieren,Konformität prüfen,"Das Projektaudit dient der Überprüfung, ob das Projekt den definierten Standards, Richtlinien und Vorschriften entspricht."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Projektphasen?",Gantt-Diagramm,Flussdiagramm,Ishikawa-Diagramm,Netzplantechnik,Gantt-Diagramm,"Gantt-Diagramme können gut zur Visualisierung von Projektphasen und deren zeitlicher Planung verwendet werden."
Projektmanagement,"Was ist das Hauptziel des Vertragsmanagements?",Verträge verhandeln,Verträge überwachen,Verträge abschließen,Alle der Genannten,Alle der Genannten,"Das Vertragsmanagement umfasst alle Aktivitäten rund um das Verhandeln, Abschließen und Überwachen von Verträgen im Projekt."
Projektmanagement,"Welche Methode eignet sich zur Visualisierung von Projektrisiken?",Gantt-Diagramm,Ishikawa-Diagramm,Risikoregister,Netzplantechnik,Risikoregister,"Ein Risikoregister dient der Dokumentation und Visualisierung identifizierter Projektrisiken."
Projektmanagement,"Was ist der Hauptzweck der Projektabschlussanalyse?",Projekterfolg bewerten,Lessons Learned dokumentieren,Budget kontrollieren,Ressourcen planen,Lessons Learned dokumentieren,"Die Projektabschlussanalyse dient dazu, Lessons Learned aus dem Projekt zu dokumentieren, um aus Fehlern und Erfolgen für zukünftige Projekte zu lernen."
Bekannte Ports,Welcher Port wird typischerweise für HTTP verwendet?,80,443,22,8080,80,Port 80 wird typischerweise für unverschlüsselte HTTP-Verbindungen verwendet.
Bekannte Ports,Welcher Port wird für HTTPS verschlüsselte Verbindungen verwendet?,80,443,22,8080,443,Port 443 wird für HTTPS verschlüsselte Verbindungen verwendet.
Bekannte Ports,Welcher Port wird für SSH verwendet?,80,443,22,8080,22,Port 22 wird typischerweise für SSH (Secure Shell) verwendet.
Bekannte Ports,Welcher Port wird für FTP verwendet?,80,443,21,25,21,Port 21 wird typischerweise für FTP (File Transfer Protocol) verwendet.
Bekannte Ports,Welcher Port wird für SMTP verwendet?,80,443,25,110,25,Port 25 wird für SMTP (Simple Mail Transfer Protocol) verwendet um E-Mails zu übertragen.
Bekannte Ports,Welcher Port wird für DNS verwendet?,80,53,25,110,53,Port 53 wird für DNS (Domain Name System) verwendet um Domainnamen in IP-Adressen aufzulösen.
Bekannte Ports,Welcher Port wird für Telnet verwendet?,80,443,23,110,23,Port 23 wird für Telnet verwendet ein Netzwerkprotokoll zur Fernsteuerung eines Computers über das Internet oder ein lokales Netzwerk.
Bekannte Ports,Welcher Port wird für POP3 verwendet?,80,443,25,110,110,Port 110 wird für POP3 (Post Office Protocol Version 3) verwendet um E-Mails von einem Server abzurufen.
Bekannte Ports,Welcher Port wird für IMAP verwendet?,80,443,25,143,143,Port 143 wird für IMAP (Internet Message Access Protocol) verwendet um E-Mails auf einem Server zu verwalten.
Bekannte Ports,Welcher Port wird für SNMP verwendet?,80,443,25,161,161,Port 161 wird für SNMP (Simple Network Management Protocol) verwendet um Netzwerkgeräte zu überwachen und zu verwalten.
Bekannte Ports,Welcher Port wird für LDAP verwendet?,80,443,25,389,389,Port 389 wird für LDAP (Lightweight Directory Access Protocol) verwendet um Informationen aus einem Verzeichnisdienst abzurufen.
Bekannte Ports,Welcher Port wird für RDP verwendet?,80,443,22,3389,3389,Port 3389 wird für RDP (Remote Desktop Protocol) verwendet um eine Remote-Desktop-Verbindung zu einem Computer herzustellen.
Bekannte Ports,Welcher Port wird für MySQL-Datenbankverbindungen verwendet?,80,443,3306,8080,3306,Port 3306 wird typischerweise für MySQL-Datenbankverbindungen verwendet.
Bekannte Ports,Welcher Port wird für Oracle-Datenbankverbindungen verwendet?,80,443,1521,25,1521,Port 1521 wird für Oracle-Datenbankverbindungen verwendet.
Bekannte Ports,Welcher Port wird für Microsoft SQL Server-Datenbankverbindungen verwendet?,80,443,1433,25,1433,Port 1433 wird für Microsoft SQL Server-Datenbankverbindungen verwendet.
Bekannte Ports,Welcher Port wird für HTTPS-Proxyverbindungen verwendet?,80,443,8080,3128,443,Port 443 wird für HTTPS-Proxyverbindungen verwendet.
Bekannte Ports,Welcher Port wird für HTTP-Proxyverbindungen verwendet?,80,443,8080,3128,80,Port 80 wird für HTTP-Proxyverbindungen verwendet.
Bekannte Ports,Welcher Port wird für SMB (Server Message Block) verwendet?,80,443,445,8080,445,Port 445 wird für SMB (Server Message Block) verwendet ein Netzwerkprotokoll das für Datei- Drucker- und andere Kommunikationsdienste in einem Netzwerk verwendet wird.
Bekannte Ports,Welcher Port wird für FTPS (FTP über SSL/TLS) verwendet?,80,443,21,990,990,Port 990 wird für FTPS (FTP über SSL/TLS) verwendet eine sichere Variante von FTP.
Bekannte Ports,Welcher Port wird für SSH-Dateiübertragungen verwendet?,22,23,25,80,22,Port 22 wird für SSH-Dateiübertragungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 80?,SMTP,HTTP,SSH,FTP,HTTP,Port 80 wird typischerweise für HTTP-Verbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 443?,HTTP,SMTP,HTTPS,FTP,HTTPS,Port 443 wird typischerweise für verschlüsselte HTTPS-Verbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 22?,FTP,HTTP,SSH,SMTP,SSH,Port 22 wird typischerweise für SSH (Secure Shell) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 21?,SSH,HTTP,FTP,SMTP,FTP,Port 21 wird typischerweise für FTP (File Transfer Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 25?,SMTP,HTTP,SSH,FTP,SMTP,Port 25 wird typischerweise für SMTP (Simple Mail Transfer Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 53?,DNS,HTTP,SSH,FTP,DNS,Port 53 wird typischerweise für DNS (Domain Name System) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 23?,SSH,HTTP,FTP,Telnet,Telnet,Port 23 wird typischerweise für Telnet verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 110?,FTP,HTTP,POP3,SMTP,POP3,Port 110 wird typischerweise für POP3 (Post Office Protocol Version 3) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 143?,IMAP,HTTP,SSH,FTP,IMAP,Port 143 wird typischerweise für IMAP (Internet Message Access Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 161?,SNMP,HTTP,SSH,FTP,SNMP,Port 161 wird typischerweise für SNMP (Simple Network Management Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 389?,LDAP,HTTP,SSH,FTP,LDAP,Port 389 wird typischerweise für LDAP (Lightweight Directory Access Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 3389?,FTP,HTTP,SSH,RDP,RDP,Port 3389 wird typischerweise für RDP (Remote Desktop Protocol) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 3306?,FTP,HTTP,SSH,MySQL,MySQL,Port 3306 wird typischerweise für MySQL-Datenbankverbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 1521?,FTP,HTTP,SSH,Oracle,Oracle,Port 1521 wird typischerweise für Oracle-Datenbankverbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 1433?,FTP,HTTP,SSH,Microsoft SQL Server,Microsoft SQL Server,Port 1433 wird typischerweise für Microsoft SQL Server-Datenbankverbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 3128?,FTP,HTTP,HTTPS,Proxy,Proxy,Port 3128 wird typischerweise für HTTP-Proxyverbindungen verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 445?,FTP,HTTP,SSH,SMB,SMB,Port 445 wird typischerweise für SMB (Server Message Block) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 990?,FTP,HTTP,HTTPS,FTPS,FTPS,Port 990 wird typischerweise für FTPS (FTP über SSL/TLS) verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 23?,FTP,HTTP,SSH,Telnet,Telnet,Port 23 wird typischerweise für Telnet verwendet.
Bekannte Ports,Welche Anwendung verwendet typischerweise Port 443?,FTP,HTTP,HTTPS,SNMP,HTTPS,Port 443 wird typischerweise für HTTPS-Verbindungen verwendet.
Wirtschaft und Soziales,Was ist die Hauptaufgabe der Bilanz?,Vermögenslage darstellen,Erfolgsermittlung,Vertriebsplanung,Personalplanung,Vermögenslage darstellen,Die Bilanz gibt einen Überblick über das Vermögen und die Schulden eines Unternehmens.
Wirtschaft und Soziales,Welches Gesetz regelt den Arbeitsvertrag?,BGB,StGB,HGB,AGB,BGB,Das Bürgerliche Gesetzbuch (BGB) regelt die Grundlagen des Arbeitsvertrags.
Wirtschaft und Soziales,Wie lange beträgt die gesetzliche Kündigungsfrist für Arbeitnehmer in der Probezeit?,2 Wochen,1 Monat,3 Monate,6 Monate,2 Wochen,In der Probezeit beträgt die gesetzliche Kündigungsfrist zwei Wochen.
Wirtschaft und Soziales,Was versteht man unter Inflation?,Allgemeiner Anstieg des Preisniveaus,Allgemeiner Rückgang des Preisniveaus,Konstantes Preisniveau,Sinkende Zinsen,Allgemeiner Anstieg des Preisniveaus,Inflation bezeichnet den allgemeinen Anstieg des Preisniveaus über einen bestimmten Zeitraum.
Wirtschaft und Soziales,Was ist das Ziel der Kosten- und Leistungsrechnung?,Ermittlung des Betriebsergebnisses,Erstellung der Bilanz,Ermittlung der Steuern,Erstellung des Jahresabschlusses,Ermittlung des Betriebsergebnisses,Die Kosten- und Leistungsrechnung hat das Ziel das Betriebsergebnis zu ermitteln.
Wirtschaft und Soziales,Welches Organ ist in einer GmbH für die Geschäftsführung zuständig?,Geschäftsführer,Aufsichtsrat,Hauptversammlung,Beirat,Geschäftsführer,Der Geschäftsführer ist das leitende Organ der GmbH.
Wirtschaft und Soziales,Was ist die Hauptaufgabe des Marketings?,Kundengewinnung,Personalverwaltung,Finanzplanung,Produktentwicklung,Kundengewinnung,Das Marketing zielt darauf ab Kunden zu gewinnen und zu binden.
Wirtschaft und Soziales,Was ist ein Ziel der Personalentwicklung?,Mitarbeiterqualifikation erhöhen,Produktion steigern,Kosten senken,Umsatz steigern,Mitarbeiterqualifikation erhöhen,Die Personalentwicklung hat das Ziel die Qualifikation der Mitarbeiter zu erhöhen.
Wirtschaft und Soziales,Was versteht man unter Corporate Identity?,Unternehmensidentität,Marktanalyse,Produktentwicklung,Kostenrechnung,Unternehmensidentität,Corporate Identity bezeichnet die Gesamtheit der Merkmale die ein Unternehmen kennzeichnen und es von anderen Unternehmen unterscheiden.
Wirtschaft und Soziales,Was ist der Zweck einer SWOT-Analyse?,Stärken und Schwächen analysieren,Marktanteil berechnen,Produktpreis festlegen,Steuerlast ermitteln,Stärken und Schwächen analysieren,Die SWOT-Analyse dient der Identifizierung von Stärken Schwächen Chancen und Risiken eines Unternehmens.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Liquidität'?,Zahlungsfähigkeit,Ertragskraft,Kapitalstruktur,Marktanteil,Zahlungsfähigkeit,Liquidität bezeichnet die Fähigkeit eines Unternehmens seine fälligen Zahlungsverpflichtungen zu erfüllen.
Wirtschaft und Soziales,Was versteht man unter einem Bruttogehalt?,Gehalt vor Abzügen,Gehalt nach Abzügen,Gehalt nach Steuern,Gehalt nach Sozialabgaben,Gehalt vor Abzügen,Das Bruttogehalt ist das Gehalt vor Abzug von Steuern und Sozialabgaben.
Wirtschaft und Soziales,Was ist eine GmbH?,Gesellschaft mit beschränkter Haftung,Gesellschaft mit begrenzter Haftung,Gemeinnützige GmbH,Gesellschaft mit besonderer Haftung,Gesellschaft mit beschränkter Haftung,Die GmbH ist eine Rechtsform mit beschränkter Haftung der Gesellschafter.
Wirtschaft und Soziales,Was ist das Ziel des Controllings?,Unternehmenssteuerung,Produktverkauf,Werbung,Personalgewinnung,Unternehmenssteuerung,Das Controlling unterstützt die Unternehmensführung bei der Planung Steuerung und Kontrolle.
Wirtschaft und Soziales,Was ist ein Geschäftsplan?,Plan für Geschäftstätigkeiten,Plan für Freizeitaktivitäten,Plan für Marketingaktionen,Plan für Produktionsprozesse,Plan für Geschäftstätigkeiten,Ein Geschäftsplan enthält die Planung und Strategie für die Geschäftstätigkeiten eines Unternehmens.
Wirtschaft und Soziales,Welches Organ überwacht die Geschäftsführung einer AG?,Aufsichtsrat,Vorstand,Hauptversammlung,Beirat,Aufsichtsrat,Der Aufsichtsrat überwacht die Geschäftsführung des Vorstands einer AG.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Monopol'?,Marktbeherrschende Stellung eines Unternehmens,Marktzugang für viele Unternehmen,Marktaufteilung unter vielen Unternehmen,Marktzugang nur für internationale Unternehmen,Marktbeherrschende Stellung eines Unternehmens,Ein Monopol liegt vor wenn ein Unternehmen eine marktbeherrschende Stellung hat.
Wirtschaft und Soziales,Was versteht man unter dem Begriff 'Bilanzsumme'?,Summe der Aktiva und Passiva,Gewinn des Unternehmens,Verkaufserlöse des Unternehmens,Kapital des Unternehmens,Summe der Aktiva und Passiva,Die Bilanzsumme ist die Summe der Aktiva und Passiva in der Bilanz.
Wirtschaft und Soziales,Was ist das Ziel der betrieblichen Altersvorsorge?,Absicherung im Alter,Kostensenkung,Produktivitätssteigerung,Umsatzsteigerung,Absicherung im Alter,Die betriebliche Altersvorsorge dient der finanziellen Absicherung der Mitarbeiter im Alter.
Wirtschaft und Soziales,Was versteht man unter einer Dividende?,Gewinnausschüttung an Aktionäre,Gehaltszahlung an Mitarbeiter,Zinszahlung an Kreditgeber,Steuerzahlung an den Staat,Gewinnausschüttung an Aktionäre,Die Dividende ist die Gewinnausschüttung an die Aktionäre eines Unternehmens.
Wirtschaft und Soziales,Was ist ein Geschäftsbericht?,Jahresbericht eines Unternehmens,Werbeprospekt,Produktkatalog,Marktforschungsbericht,Jahresbericht eines Unternehmens,Ein Geschäftsbericht ist ein Jahresbericht der die Geschäftstätigkeit und die finanzielle Lage eines Unternehmens darstellt.
Wirtschaft und Soziales,Was ist das Hauptziel der Absatzwirtschaft?,Verkauf von Produkten,Kostenreduzierung,Mitarbeitergewinnung,Produktentwicklung,Verkauf von Produkten,Die Absatzwirtschaft hat das Ziel Produkte und Dienstleistungen zu verkaufen.
Wirtschaft und Soziales,Was versteht man unter 'Human Resources'?,Personalmanagement,Finanzmanagement,Produktionsmanagement,Marketing,Personalmanagement,Human Resources umfasst das Personalmanagement eines Unternehmens.
Wirtschaft und Soziales,Was ist der Zweck eines Businessplans?,Geschäftsstrategie darstellen,Produktionskosten ermitteln,Mitarbeiterzahlen festlegen,Steuern berechnen,Geschäftsstrategie darstellen,Der Businessplan stellt die Geschäftsstrategie und Planung eines Unternehmens dar.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Skonto'?,Preisnachlass bei sofortiger Zahlung,Zusätzliche Kosten bei Ratenzahlung,Steueraufschlag,Transportkosten,Preisnachlass bei sofortiger Zahlung,Skonto ist ein Preisnachlass der bei sofortiger oder frühzeitiger Zahlung gewährt wird.
Wirtschaft und Soziales,Was ist ein Shareholder?,Aktionär,Arbeitnehmer,Kunde,Lieferant,Aktionär,Ein Shareholder ist ein Aktionär oder Anteilseigner eines Unternehmens.
Wirtschaft und Soziales,Was versteht man unter 'Corporate Governance'?,Grundsätze der Unternehmensführung,Werbestrategie,Produktionsplanung,Personalentwicklung,Grundsätze der Unternehmensführung,Corporate Governance umfasst die Grundsätze und Regeln der Unternehmensführung und -kontrolle.
Wirtschaft und Soziales,Was ist das Ziel der Lagerhaltung?,Sicherung der Lieferfähigkeit,Kostenreduzierung,Erhöhung der Mitarbeiterzufriedenheit,Steigerung des Marktanteils,Sicherung der Lieferfähigkeit,Die Lagerhaltung hat das Ziel die Lieferfähigkeit des Unternehmens zu sichern.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Investition'?,Kapitalanlage,Steuerzahlung,Lohnzahlung,Produktverkauf,Kapitalanlage,Eine Investition ist die langfristige Anlage von Kapital in Vermögenswerte.
Wirtschaft und Soziales,Was ist ein Ziel der Finanzbuchhaltung?,Dokumentation der Geschäftsvorfälle,Steuerplanung,Produktionsplanung,Personalplanung,Dokumentation der Geschäftsvorfälle,Die Finanzbuchhaltung dokumentiert alle Geschäftsvorfälle eines Unternehmens.
Wirtschaft und Soziales,Was versteht man unter dem Begriff 'Benchmarking'?,Vergleich mit den besten Unternehmen,Ermittlung der Produktionskosten,Erstellung eines Businessplans,Verwaltung der Personalakten,Vergleich mit den besten Unternehmen,Benchmarking ist der Vergleich der eigenen Prozesse und Leistungen mit den besten Unternehmen der Branche.
Wirtschaft und Soziales,Was ist ein Tarifvertrag?,Kollektive Vereinbarung zwischen Arbeitgeber und Gewerkschaft,Einzelarbeitsvertrag,Vertrag zwischen Unternehmen und Kunde,Leasingvertrag,Kollektive Vereinbarung zwischen Arbeitgeber und Gewerkschaft,Ein Tarifvertrag regelt die Arbeitsbedingungen zwischen Arbeitgeber und Gewerkschaft.
Wirtschaft und Soziales,Was ist das Ziel der Marktforschung?,Analyse des Marktes,Produktentwicklung,Personalrekrutierung,Finanzplanung,Analyse des Marktes,Die Marktforschung dient der systematischen Untersuchung eines Marktes.
Wirtschaft und Soziales,Was versteht man unter 'Just-in-Time'?,Produktion auf Abruf,Vorratsproduktion,Überproduktion,Reduktion der Produktionszeit,Produktion auf Abruf,Just-in-Time bedeutet dass Produkte genau zum Zeitpunkt ihres Bedarfs produziert werden.
Wirtschaft und Soziales,Was ist der Zweck der gesetzlichen Unfallversicherung?,Schutz bei Arbeitsunfällen und Berufskrankheiten,Krankenversorgung,Altersvorsorge,Arbeitslosenversicherung,Schutz bei Arbeitsunfällen und Berufskrankheiten,Die gesetzliche Unfallversicherung schützt Arbeitnehmer bei Arbeitsunfällen und Berufskrankheiten.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Bruttoinlandsprodukt' (BIP)?,Wert aller in einem Land hergestellten Güter und Dienstleistungen,Wert der Exportgüter,Wert der Importgüter,Wert der Steuereinnahmen,Wert aller in einem Land hergestellten Güter und Dienstleistungen,Das BIP misst den Wert aller in einem Land hergestellten Güter und Dienstleistungen.
Wirtschaft und Soziales,Was ist die Hauptaufgabe des Rechnungswesens?,Erfassung und Überwachung der finanziellen Vorgänge,Produktentwicklung,Personalmanagement,Marketingstrategie,Erfassung und Überwachung der finanziellen Vorgänge,Das Rechnungswesen erfasst und überwacht alle finanziellen Vorgänge eines Unternehmens.
Wirtschaft und Soziales,Was versteht man unter einer Bilanz?,Darstellung von Vermögen und Schulden,Ermittlung des Umsatzes,Berechnung der Steuerlast,Erstellung eines Geschäftsplans,Darstellung von Vermögen und Schulden,Die Bilanz zeigt das Verhältnis von Vermögen und Schulden eines Unternehmens.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Kapitalrücklage'?,Eigenkapitalreserven,Verbindlichkeiten,Gewinne,Abschreibungen,Eigenkapitalreserven,Kapitalrücklagen sind Eigenkapitalreserven eines Unternehmens.
Wirtschaft und Soziales,Was ist das Ziel der Unternehmensstrategie?,Langfristige Planung und Zielsetzung,Kurzfristige Gewinnmaximierung,Steueroptimierung,Produktdesign,Langfristige Planung und Zielsetzung,Die Unternehmensstrategie umfasst die langfristige Planung und Zielsetzung eines Unternehmens.
Wirtschaft und Soziales,Was versteht man unter dem Begriff 'Deckungsbeitrag'?,Differenz zwischen Erlösen und variablen Kosten,Summe aller Fixkosten,Nettoerlös,Bruttogewinn,Differenz zwischen Erlösen und variablen Kosten,Der Deckungsbeitrag ist die Differenz zwischen den Erlösen und den variablen Kosten.
Wirtschaft und Soziales,Was ist die Aufgabe des Betriebsrates?,Vertretung der Arbeitnehmerinteressen,Leitung des Unternehmens,Erstellung der Bilanz,Planung der Produktionsprozesse,Vertretung der Arbeitnehmerinteressen,Der Betriebsrat vertritt die Interessen der Arbeitnehmer im Unternehmen.
Wirtschaft und Soziales,Was bedeutet der Begriff 'Liquiditätsplanung'?,Planung der Zahlungsfähigkeit,Planung der Lagerhaltung,Planung der Produktion,Planung der Personalentwicklung,Planung der Zahlungsfähigkeit,Die Liquiditätsplanung stellt sicher dass ein Unternehmen seine Zahlungsfähigkeit jederzeit aufrechterhalten kann.
